# Rg    beta propensity
1.49832  5.714285714
1.51627  9.285714286
1.49318  5.714285714
1.46416  5.714285714
1.53458  14.28571429
1.46122  14.28571429
1.52367  14.28571429
1.50404  5.714285714
1.53083  10.71428571
1.61734  7.857142857
1.50051  5.714285714
 1.4994  5.714285714
1.55129  5.714285714
1.46026  14.28571429
1.49184  7.857142857
1.45606  15.71428571
1.50368  4.285714286
1.46802  7.857142857
1.49317  4.285714286
1.49037  5.714285714
1.63383  7.857142857
1.48861  5.714285714
1.53519  12.14285714
1.48082  5.714285714
1.47477  7.857142857
1.62774  17.85714286
1.53752  14.28571429
  1.449  14.28571429
1.44636  14.28571429
1.45302  15
1.65155  4.285714286
1.63418  7.142857143
1.53184  10.71428571
1.62112  15.71428571
 1.5395  15.71428571
1.45485  15
1.61872  16.42857143
1.61764  16.42857143
1.48622  4.285714286
1.45336  14.28571429
1.48328  6.428571429
1.62759  15
1.51372  7.142857143
1.51404  5.714285714
1.50129  7.142857143
1.46381  14.28571429
1.46552  14.28571429
1.55744  11.42857143
1.49316  6.428571429
1.53887  14.28571429
1.49487  6.428571429
1.49295  5.714285714
1.46898  17.14285714
1.61148  25
1.46402  15.71428571
1.46211  14.28571429
1.45772  14.28571429
1.48727  5.714285714
 1.6446  7.142857143
1.45658  15.71428571
1.63165  20
1.45449  15.71428571
1.46462  17.14285714
1.60423  16.42857143
1.54029  15.71428571
1.54034  15.71428571
1.53774  15.71428571
1.59479  24.28571429
1.47962  5
1.45895  15.71428571
1.50845  5.714285714
1.54328  14.28571429
1.47178  14.28571429
 1.5499  5.714285714
1.54745  14.28571429
1.46456  15.71428571
1.54124  14.28571429
1.50272  17.85714286
1.45582  15.71428571
 1.4731  2.857142857
1.45545  15.71428571
1.45508  14.28571429
1.61795  22.85714286
1.62257  22.85714286
1.62705  24.28571429
1.48342  7.857142857
 1.4921  5.714285714
1.63598  24.28571429
1.45271  15.71428571
1.45516  13.57142857
1.45488  15.71428571
  1.452  8.571428571
 1.4599  8.571428571
1.54778  14.28571429
1.56388  15.71428571
 1.4991  5.714285714
1.50093  4.285714286
1.49618  5.714285714
1.45229  8.571428571
1.45751  7.142857143
1.49983  5.714285714
1.45336  15
1.45613  15
 1.4474  14.28571429
1.45299  15.71428571
1.63852  22.85714286
1.62172  7.142857143
1.49946  5.714285714
1.50216  5.714285714
1.50586  5.714285714
1.50627  5.714285714
1.48003  7.142857143
1.50462  5.714285714
1.49665  4.285714286
1.54777  13.57142857
 1.5012  5.714285714
1.51058  5.714285714
1.55454  10
1.54842  11.42857143
1.50465  5.714285714
1.49454  4.285714286
1.55093  8.571428571
1.47618  16.42857143
 1.4872  15
1.49387  15
   1.55  5.714285714
1.55105  5.714285714
1.55484  5.714285714
 1.5542  8.571428571
1.55473  13.57142857
1.48637  5.714285714
1.45804  5.714285714
1.46065  4.285714286
1.56225  12.14285714
1.63662  7.142857143
1.62357  7.857142857
1.46147  5.714285714
 1.5625  10.71428571
1.54505  10
1.55406  12.14285714
1.56244  10
 1.5499  10
1.55624  8.571428571
1.62738  6.428571429
1.45931  7.142857143
1.63266  8.571428571
1.45288  17.14285714
1.62379  7.857142857
1.45984  17.14285714
 1.5384  15.71428571
1.62962  26.42857143
1.63281  23.57142857
1.61166  22.14285714
1.54808  13.57142857
  1.545  15
1.55237  11.42857143
1.55414  12.14285714
1.61506  25
1.62184  25
1.50263  7.142857143
1.50368  5.714285714
1.49869  7.142857143
1.49717  7.142857143
 1.5352  14.28571429
1.49523  5.714285714
1.50112  7.142857143
1.47707  8.571428571
 1.6166  25.71428571
1.52926  12.14285714
1.53974  12.14285714
1.61729  24.28571429
1.48119  7.142857143
1.52592  12.14285714
1.62808  24.28571429
1.62644  27.14285714
1.45934  17.14285714
1.46637  6.428571429
 1.6293  27.14285714
1.63071  5.714285714
1.47299  10
1.50574  7.142857143
1.46872  10
1.47832  10.71428571
1.47544  8.571428571
1.46442  7.142857143
1.46888  10
1.53173  15.71428571
1.52798  15.71428571
1.53178  14.28571429
 1.4686  7.142857143
1.53281  10
1.47299  7.142857143
1.51023  7.142857143
1.47125  7.142857143
1.47375  7.142857143
1.48858  5.714285714
1.48792  4.285714286
1.49198  5.714285714
1.49621  5.714285714
1.48465  5.714285714
1.48714  2.857142857
 1.5022  7.142857143
 1.5165  11.42857143
1.49695  4.285714286
1.53117  13.57142857
1.50538  7.142857143
 1.5175  15.71428571
1.52716  15.71428571
1.53108  13.57142857
1.45264  10
1.49211  5.714285714
1.45425  7.142857143
 1.4593  7.142857143
1.45768  7.142857143
1.51537  14.28571429
 1.5018  5
1.48017  5.714285714
1.49628  7.857142857
1.46643  15.71428571
1.49678  2.857142857
1.50918  7.142857143
1.50185  5.714285714
1.51762  5.714285714
1.47537  8.571428571
1.49104  7.142857143
1.47424  6.428571429
1.53162  12.14285714
1.65487  11.42857143
1.45049  10.71428571
1.45927  10.71428571
1.49478  4.285714286
1.49973  5.714285714
1.62859  11.42857143
 1.4955  5.714285714
    1.5  7.857142857
1.48532  2.857142857
1.49719  5.714285714
1.51626  17.85714286
1.51268  17.85714286
1.52183  17.85714286
1.46367  6.428571429
1.48283  5.714285714
1.64977  10.71428571
1.62245  23.57142857
  1.618  24.28571429
1.62493  23.57142857
1.59424  27.14285714
1.49666  4.285714286
 1.6419  10
1.65174  10.71428571
1.49336  6.428571429
1.49703  6.428571429
1.48784  7.142857143
1.46044  7.142857143
 1.4611  8.571428571
1.59863  26.42857143
 1.6052  24.28571429
1.45811  10
1.61922  24.28571429
 1.4598  7.142857143
1.46904  7.142857143
1.45807  12.14285714
1.49967  7.142857143
1.49661  7.142857143
1.46218  5.714285714
1.45814  7.142857143
1.52135  15
1.45988  17.14285714
1.46139  16.42857143
1.48192  7.142857143
1.50521  13.57142857
1.51057  7.857142857
 1.4996  13.57142857
1.49458  15
1.46572  15
1.49944  6.428571429
1.50136  6.428571429
1.50037  7.857142857
1.46512  16.42857143
1.46949  14.28571429
1.63141  11.42857143
1.46762  7.142857143
1.47014  9.285714286
1.63265  11.42857143
1.47337  6.428571429
1.46099  16.42857143
1.47453  9.285714286
1.46605  16.42857143
1.46183  16.42857143
  1.467  14.28571429
1.49716  6.428571429
1.47201  14.28571429
1.47212  9.285714286
1.59093  10
1.47873  7.142857143
1.49002  8.571428571
1.46933  9.285714286
1.59066  13.57142857
1.50544  15
